Date,SGS,Swisscom,Givaudan,Zurich Insurance Group,Novartis,Roche,Credit Suisse,LafargeHolcim,ABB,Swatch Group,Lonza,Swiss Life Holding,Partners Group,Geberit,Nestle,Swiss Re,Richemont,UBS,Sika,Alcon
2016-04-18,13023.0,88964.0,34049.0,674345.0,5745192.0,906501.0,7832824.0,1906651.0,4200418.0,130729.0,160857.0,167643.0,54052.0,103254.0,4956864.0,1153233.0,1160392.0,7436025.0,235620.0,
2016-04-19,23203.0,165017.0,29414.0,906498.0,6001340.0,1715471.0,10631686.0,2203260.0,6727460.0,218257.0,206708.0,181416.0,99142.0,93706.0,8706830.0,1254605.0,1591976.0,8974585.0,303660.0,
2016-04-20,22109.0,101806.0,33561.0,686732.0,6812482.0,1361344.0,11620626.0,2250979.0,17348046.0,179981.0,298688.0,176728.0,58009.0,151890.0,5176570.0,1460281.0,1507948.0,14036552.0,447420.0,
2016-04-21,24874.0,148884.0,24803.0,906673.0,8073175.0,1428031.0,12064299.0,2764183.0,9174125.0,354545.0,281034.0,160270.0,58154.0,114737.0,7126241.0,2169393.0,1912164.0,19701895.0,506340.0,
2016-04-22,29007.0,128972.0,20502.0,677387.0,6567322.0,1372489.0,12184792.0,2338050.0,5724668.0,243874.0,184823.0,162560.0,62298.0,113362.0,5396043.0,1446439.0,1538498.0,22238183.0,454440.0,
2016-04-25,17845.0,92118.0,46082.0,827810.0,7321806.0,1842122.0,8147797.0,2304191.0,6111442.0,155477.0,200485.0,131452.0,86795.0,143731.0,5681592.0,1796796.0,1252570.0,11363262.0,358320.0,
2016-04-26,27304.0,122217.0,21311.0,707752.0,6982705.0,1760841.0,7767543.0,2371419.0,9789793.0,264730.0,284868.0,264455.0,54519.0,142727.0,4732748.0,2474139.0,1384934.0,15390361.0,311160.0,
2016-04-27,13389.0,87927.0,17827.0,475964.0,4678344.0,1001036.0,7761939.0,1785964.0,8789047.0,113159.0,307171.0,261815.0,32109.0,136882.0,3630085.0,2559405.0,819048.0,11332157.0,391920.0,
2016-04-28,19607.0,101337.0,21197.0,585014.0,5330670.0,1354333.0,10982578.0,1531864.0,5481222.0,145201.0,137722.0,184603.0,44724.0,307219.0,3635215.0,2045321.0,1163046.0,11757487.0,286620.0,
2016-04-29,19661.0,92347.0,19770.0,688104.0,6422341.0,1580049.0,18811161.0,2034420.0,6777677.0,184446.0,174501.0,177191.0,79558.0,192885.0,5509956.0,2438486.0,1357542.0,16916569.0,307980.0,
2016-05-02,15198.0,75590.0,15477.0,296294.0,2984721.0,715804.0,5001695.0,1138314.0,3833954.0,120307.0,128835.0,121669.0,35945.0,91834.0,3198412.0,1161641.0,692828.0,8255061.0,136440.0,
